2026-04-10 12:49:45 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 50, 'batch_size': 8, 'lr': 3e-05, 'num_workers': 4, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 10, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-10 12:49:45 | Device: cuda
2026-04-10 12:49:45 | Model parameters: 1,197,601
2026-04-10 12:49:55 | Epoch   1/50 | Loss: 31.4441 | MAE: 32.05 CL | r: 0.2056 | LR: 3.00e-05 | 7.8s *
2026-04-10 12:50:01 | Epoch   2/50 | Loss: 30.7241 | MAE: 31.39 CL | r: 0.2584 | LR: 3.00e-05 | 5.9s *
2026-04-10 12:50:07 | Epoch   3/50 | Loss: 30.1285 | MAE: 31.00 CL | r: 0.2750 | LR: 3.00e-05 | 6.0s *
2026-04-10 12:50:13 | Epoch   4/50 | Loss: 29.5827 | MAE: 30.65 CL | r: 0.3223 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:50:19 | Epoch   5/50 | Loss: 29.2848 | MAE: 30.21 CL | r: 0.3312 | LR: 3.00e-05 | 5.9s *
2026-04-10 12:50:25 | Epoch   6/50 | Loss: 28.9226 | MAE: 30.31 CL | r: 0.3349 | LR: 3.00e-05 | 6.1s
2026-04-10 12:50:31 | Epoch   7/50 | Loss: 28.7157 | MAE: 29.55 CL | r: 0.3588 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:50:37 | Epoch   8/50 | Loss: 28.4892 | MAE: 29.25 CL | r: 0.3707 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:50:43 | Epoch   9/50 | Loss: 28.3906 | MAE: 30.49 CL | r: 0.3666 | LR: 3.00e-05 | 6.1s
2026-04-10 12:50:49 | Epoch  10/50 | Loss: 28.3001 | MAE: 29.21 CL | r: 0.3503 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:50:56 | Epoch  11/50 | Loss: 28.0075 | MAE: 28.93 CL | r: 0.3426 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:51:02 | Epoch  12/50 | Loss: 27.9595 | MAE: 28.72 CL | r: 0.4311 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:51:08 | Epoch  13/50 | Loss: 27.9154 | MAE: 28.71 CL | r: 0.4335 | LR: 3.00e-05 | 6.0s *
2026-04-10 12:51:14 | Epoch  14/50 | Loss: 27.9502 | MAE: 28.62 CL | r: 0.4467 | LR: 3.00e-05 | 5.9s *
2026-04-10 12:51:20 | Epoch  15/50 | Loss: 27.6431 | MAE: 28.42 CL | r: 0.4558 | LR: 3.00e-05 | 6.2s *
2026-04-10 12:51:26 | Epoch  16/50 | Loss: 27.4737 | MAE: 29.92 CL | r: 0.4262 | LR: 3.00e-05 | 6.2s
2026-04-10 12:51:32 | Epoch  17/50 | Loss: 27.4822 | MAE: 28.49 CL | r: 0.4238 | LR: 3.00e-05 | 6.1s
2026-04-10 12:51:38 | Epoch  18/50 | Loss: 27.1842 | MAE: 28.50 CL | r: 0.5141 | LR: 3.00e-05 | 6.1s
2026-04-10 12:51:44 | Epoch  19/50 | Loss: 27.0370 | MAE: 27.57 CL | r: 0.5224 | LR: 3.00e-05 | 6.2s *
2026-04-10 12:51:51 | Epoch  20/50 | Loss: 26.8188 | MAE: 27.96 CL | r: 0.4720 | LR: 3.00e-05 | 6.2s
2026-04-10 12:51:57 | Epoch  21/50 | Loss: 26.8334 | MAE: 27.77 CL | r: 0.5553 | LR: 3.00e-05 | 6.1s
2026-04-10 12:52:03 | Epoch  22/50 | Loss: 26.8394 | MAE: 27.88 CL | r: 0.5578 | LR: 3.00e-05 | 6.2s
2026-04-10 12:52:09 | Epoch  23/50 | Loss: 26.3294 | MAE: 26.90 CL | r: 0.5790 | LR: 3.00e-05 | 6.2s *
2026-04-10 12:52:15 | Epoch  24/50 | Loss: 26.1933 | MAE: 28.06 CL | r: 0.5959 | LR: 3.00e-05 | 6.2s
2026-04-10 12:52:21 | Epoch  25/50 | Loss: 25.9496 | MAE: 26.78 CL | r: 0.6074 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:52:28 | Epoch  26/50 | Loss: 25.9308 | MAE: 26.83 CL | r: 0.5611 | LR: 3.00e-05 | 6.2s
2026-04-10 12:52:34 | Epoch  27/50 | Loss: 25.7035 | MAE: 26.94 CL | r: 0.6376 | LR: 3.00e-05 | 6.2s
2026-04-10 12:52:40 | Epoch  28/50 | Loss: 25.6195 | MAE: 27.13 CL | r: 0.6285 | LR: 3.00e-05 | 6.2s
2026-04-10 12:52:46 | Epoch  29/50 | Loss: 25.1742 | MAE: 26.12 CL | r: 0.6597 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:52:52 | Epoch  30/50 | Loss: 25.3555 | MAE: 25.46 CL | r: 0.6843 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:52:58 | Epoch  31/50 | Loss: 24.8404 | MAE: 27.75 CL | r: 0.6836 | LR: 3.00e-05 | 6.2s
2026-04-10 12:53:04 | Epoch  32/50 | Loss: 24.6344 | MAE: 24.89 CL | r: 0.6908 | LR: 3.00e-05 | 6.2s *
2026-04-10 12:53:11 | Epoch  33/50 | Loss: 24.6572 | MAE: 25.14 CL | r: 0.6807 | LR: 3.00e-05 | 6.2s
2026-04-10 12:53:17 | Epoch  34/50 | Loss: 24.3427 | MAE: 24.62 CL | r: 0.6827 | LR: 3.00e-05 | 6.2s *
2026-04-10 12:53:23 | Epoch  35/50 | Loss: 23.9875 | MAE: 32.29 CL | r: 0.4936 | LR: 3.00e-05 | 6.1s
2026-04-10 12:53:29 | Epoch  36/50 | Loss: 24.0406 | MAE: 26.71 CL | r: 0.6946 | LR: 3.00e-05 | 6.1s
2026-04-10 12:53:35 | Epoch  37/50 | Loss: 23.2223 | MAE: 25.47 CL | r: 0.7024 | LR: 3.00e-05 | 6.1s
2026-04-10 12:53:41 | Epoch  38/50 | Loss: 23.7996 | MAE: 25.04 CL | r: 0.7098 | LR: 3.00e-05 | 6.2s
2026-04-10 12:53:48 | Epoch  39/50 | Loss: 22.9963 | MAE: 23.88 CL | r: 0.7569 | LR: 3.00e-05 | 6.2s *
2026-04-10 12:53:54 | Epoch  40/50 | Loss: 22.7517 | MAE: 23.20 CL | r: 0.7288 | LR: 3.00e-05 | 6.2s *
2026-04-10 12:54:00 | Epoch  41/50 | Loss: 22.9340 | MAE: 24.64 CL | r: 0.7485 | LR: 3.00e-05 | 6.1s
2026-04-10 12:54:06 | Epoch  42/50 | Loss: 22.3424 | MAE: 24.25 CL | r: 0.7090 | LR: 3.00e-05 | 6.1s
2026-04-10 12:54:12 | Epoch  43/50 | Loss: 22.3494 | MAE: 23.54 CL | r: 0.7479 | LR: 3.00e-05 | 6.2s
2026-04-10 12:54:18 | Epoch  44/50 | Loss: 21.9846 | MAE: 22.39 CL | r: 0.7554 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:54:25 | Epoch  45/50 | Loss: 21.7713 | MAE: 25.07 CL | r: 0.7709 | LR: 3.00e-05 | 6.2s
2026-04-10 12:54:31 | Epoch  46/50 | Loss: 21.5797 | MAE: 21.88 CL | r: 0.7874 | LR: 3.00e-05 | 6.2s *
2026-04-10 12:54:37 | Epoch  47/50 | Loss: 21.5838 | MAE: 21.50 CL | r: 0.7643 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:54:43 | Epoch  48/50 | Loss: 21.1697 | MAE: 20.00 CL | r: 0.7790 | LR: 3.00e-05 | 6.1s *
2026-04-10 12:54:49 | Epoch  49/50 | Loss: 21.0389 | MAE: 21.42 CL | r: 0.7808 | LR: 3.00e-05 | 6.2s
2026-04-10 12:54:55 | Epoch  50/50 | Loss: 20.8732 | MAE: 21.51 CL | r: 0.7591 | LR: 3.00e-05 | 6.1s
2026-04-10 12:54:56 | Best validation MAE: 20.00 centiloid units
2026-04-10 12:54:56 | Model saved to checkpoints/best_model.pt
2026-04-10 12:54:56 | Metrics: results/metrics_20260410_124945.csv
2026-04-10 12:54:56 | Plots: results/curves_20260410_124945.png
